system,SOD,nPRN,vtec_1,vtec_2,vtec_3,vtec_4,vtec_5,vtec_6,vtec_7,vtec_8,vtec_9,vtec_10,vtec_11,vtec_12,vtec_13,vtec_14,vtec_15,vtec_16,vtec_17,vtec_18,vtec_19,vtec_20,vtec_21,vtec_22,vtec_23,vtec_24,stec_1,stec_2,stec_3,stec_4,stec_5,stec_6,stec_7,stec_8,stec_9,stec_10,stec_11,stec_12,stec_13,stec_14,stec_15,stec_16,stec_17,stec_18,stec_19,stec_20,stec_21,stec_22,stec_23,stec_24,roti_1,roti_2,roti_3,roti_4,roti_5,roti_6,roti_7,roti_8,roti_9,roti_10,roti_11,roti_12,roti_13,roti_14,roti_15,roti_16,roti_17,roti_18,roti_19,roti_20,roti_21,roti_22,roti_23,roti_24,ipplat_1,ipplat_2,ipplat_3,ipplat_4,ipplat_5,ipplat_6,ipplat_7,ipplat_8,ipplat_9,ipplat_10,ipplat_11,ipplat_12,ipplat_13,ipplat_14,ipplat_15,ipplat_16,ipplat_17,ipplat_18,ipplat_19,ipplat_20,ipplat_21,ipplat_22,ipplat_23,ipplat_24,ipplon_1,ipplon_2,ipplon_3,ipplon_4,ipplon_5,ipplon_6,ipplon_7,ipplon_8,ipplon_9,ipplon_10,ipplon_11,ipplon_12,ipplon_13,ipplon_14,ipplon_15,ipplon_16,ipplon_17,ipplon_18,ipplon_19,ipplon_20,ipplon_21,ipplon_22,ipplon_23,ipplon_24
GLO,1,24,NaN,NaN,-155.942843431942,-148.865276497825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-163.892174401436,-127.112979376841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-182.829664601188,-181.35033051472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-175.585679340455,-129.165027507379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.1776502103194,19.7288129504652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8631995038367,19.6710837891879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.1080674369237,94.5206790920612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3280536054505,98.0782731515518,NaN,NaN,NaN,NaN,NaN,NaN
GLO,31,24,NaN,NaN,-155.689985222977,-148.804002417218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-163.462668526822,-127.07043288847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-182.643009770621,-181.207993194181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-175.314299879732,-129.077174601629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.1963174123414,19.7525457273924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8409511901581,19.6534185646276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.1232689303048,94.5298658911094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3278173160836,98.0787118692,NaN,NaN,NaN,NaN,NaN,NaN
GLO,61,24,NaN,NaN,-155.342747820396,-148.701841733584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-163.008542873122,-126.970905851794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-182.317145858782,-181.000222367131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-175.013723034827,-128.929623452107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.2149702945755,19.776231677056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8185843432685,19.6357871525287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.1385949444131,94.539088720639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3275919979138,98.079104472683,NaN,NaN,NaN,NaN,NaN,NaN
GLO,91,24,NaN,NaN,-155.045373407184,-148.639772684684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-162.564309788784,-126.865574195836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-182.063232685192,-180.859188485675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-174.724616570093,-128.777119154154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.2336082592234,19.799871095212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7960971306811,19.6181886753338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.1540461087658,94.5483483871401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3273780777362,98.0794514018585,NaN,NaN,NaN,NaN,NaN,NaN
GLO,121,24,NaN,NaN,-154.76322842452,-148.539514759501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-162.206747779614,-126.787505429234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-181.830696188637,-180.657152885037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-174.538483136955,-128.654854998913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.2522306993581,19.823464264557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7734876941014,19.600622259659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.1696230498401,94.5576456929951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3271759873097,98.0797530908254,NaN,NaN,NaN,NaN,NaN,NaN
GLO,151,24,NaN,NaN,-154.473452054809,-148.466290640216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-161.790609303384,-126.662235141784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-181.585907270258,-180.500477480305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-174.282745126855,-128.483580974744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.2708369990055,19.8470114549682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7507541488008,19.5830870360578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.185326391038,94.5669814365334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3269861634743,98.0800099680108,NaN,NaN,NaN,NaN,NaN,NaN
GLO,181,24,NaN,NaN,-154.254671782582,-148.378217519423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-161.561853222192,-126.560831191107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-181.445134069352,-180.320861315232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-174.25146222561,-128.338897347611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.2894265329714,19.8705129234042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7278945833054,19.565582139037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.2011567524521,94.5763564119841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3268090482888,98.0802224562655,NaN,NaN,NaN,NaN,NaN,NaN
GLO,211,24,NaN,NaN,-154.005013888743,-148.342368284601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-161.133817870424,-126.416751915691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-181.25795780503,-180.227533899949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-173.981907565072,-128.150156999981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.3079986669627,19.8939689141662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7049070586919,19.5481067067841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.2171147508599,94.5857714095369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3266450891529,98.0803909729488,NaN,NaN,NaN,NaN,NaN,NaN
GLO,241,24,NaN,NaN,-153.704169770448,-148.246059563328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-160.814712959597,-126.391113061379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-180.993877763006,-180.036968679481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-173.843480634434,-128.088112522269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.3265527574707,19.9173796588651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.6817896082004,19.530659881133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.2332009995312,94.5952272153181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3264947389494,98.0805159300219,NaN,NaN,NaN,NaN,NaN,NaN
GLO,271,24,NaN,NaN,-153.423888265824,-148.191774567313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-160.40335905316,-126.319691855261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-180.759255749388,-179.916007999649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-173.593999211847,-127.978622258934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.3450881517823,19.9407453765558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.6585402366488,19.5132408074074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.2494161081253,94.6047246113992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.3263584561736,98.0805977341275,NaN,NaN,NaN,NaN,NaN,NaN
