system,SOD,nPRN,vtec_1,vtec_2,vtec_3,stec_1,stec_2,stec_3,roti_1,roti_2,roti_3,ipplat_1,ipplat_2,ipplat_3,ipplon_1,ipplon_2,ipplon_3
QZS,1,3,NaN,-124.422695574391,-120.944999656244,NaN,-138.459417754427,-131.19866746281,NaN,NaN,NaN,NaN,17.3472675084679,17.5870884978347,NaN,101.339371282956,101.073226561339
QZS,31,3,NaN,-124.224051477958,-120.814928869725,NaN,-138.225568531946,-131.03705544634,NaN,NaN,NaN,NaN,17.3402277509401,17.5870978005813,NaN,101.338196686892,101.073228346361
QZS,61,3,NaN,-124.156652792353,-120.659594523631,NaN,-138.16333899188,-130.844058847583,NaN,NaN,NaN,NaN,17.3331795267869,17.5871071167523,NaN,101.337027105497,101.073230134251
QZS,91,3,NaN,-123.976386433311,-120.562284389059,NaN,-137.953603043018,-130.723145359041,NaN,NaN,NaN,NaN,17.326122789197,17.5871164463029,NaN,101.335862583574,101.073231924993
QZS,121,3,NaN,-123.720584585835,-120.453671305585,NaN,-137.645024300104,-130.588190411564,NaN,NaN,NaN,NaN,17.3190574911494,17.5871257891883,NaN,101.334703166053,101.073233718573
QZS,151,3,NaN,-123.647312030269,-120.318295108888,NaN,-137.575369297729,-130.419988023259,NaN,NaN,NaN,NaN,17.3119835853676,17.5871351453635,NaN,101.333548897981,101.073235514974
QZS,181,3,NaN,-123.556301084368,-120.189009705133,NaN,-137.482615832796,-130.259352293902,NaN,NaN,NaN,NaN,17.3049010243823,17.5871445147836,NaN,101.332399824532,101.073237314181
QZS,211,3,NaN,-123.44343944143,-120.07051011618,NaN,-137.361342556018,-130.112115784125,NaN,NaN,NaN,NaN,17.2978097604683,17.5871538974035,NaN,101.331255991002,101.07323911618
QZS,241,3,NaN,-123.296647173263,-119.906054200758,NaN,-137.195671063928,-129.907788401078,NaN,NaN,NaN,NaN,17.2907097456903,17.5871632931779,NaN,101.330117442815,101.073240920955
QZS,271,3,NaN,-123.212487859917,-119.790873926844,NaN,-137.112205746314,-129.764675689192,NaN,NaN,NaN,NaN,17.2836009318828,17.5871727020618,NaN,101.32898422552,101.073242728491
QZS,301,3,NaN,-123.0838124956,-119.659726733943,NaN,-136.970441951092,-129.601727597375,NaN,0.110834056864231,0.0361381444890613,NaN,17.2764832706514,17.5871821240098,NaN,101.327856384793,101.073244538772
QZS,331,3,NaN,-122.916857921239,-119.540389187497,NaN,-136.778485961717,-129.453450593904,NaN,0.0507584143479304,0.0153748532448489,NaN,17.2693567133834,17.5871915589767,NaN,101.326733966441,101.073246351783
QZS,361,3,NaN,-122.63732240025,-119.389376322263,NaN,-136.43866394884,-129.265823921326,NaN,0.115752633365084,0.0322617116712736,NaN,17.2622212112305,17.5872010069168,NaN,101.325617016398,101.073248167508
QZS,391,3,NaN,-122.404948989269,-119.23056603748,NaN,-136.160699020009,-129.068510789244,NaN,0.0558785030476302,0.0153689298403067,NaN,17.2550767151149,17.5872104677849,NaN,101.32450558073,101.073249985933
QZS,421,3,NaN,-122.236224264762,-119.115013002005,NaN,-135.966353562431,-128.924935616434,NaN,0.123217836396393,0.0152835882736267,NaN,17.2479231757433,17.5872199415353,NaN,101.323399705635,101.073251807042
QZS,451,3,NaN,-122.146146806715,-119.001083509059,NaN,-135.875475739512,-128.783377455806,NaN,0.136915604492291,0.0279927880807226,NaN,17.2407605435887,17.5872294281224,NaN,101.322299437443,101.073253630819
QZS,481,3,NaN,-121.89663605426,-118.893544673867,NaN,-135.574874809047,-128.649758410146,NaN,0.110161464196702,0.0154959076421337,NaN,17.2335887688989,17.5872389275006,NaN,101.32120482262,101.07325545725
QZS,511,3,NaN,-121.776628028899,-118.771745337982,NaN,-135.444698797974,-128.498423900799,NaN,0.124999724427173,0.0343793958865569,NaN,17.2264078016933,17.587248439624,NaN,101.320115907762,101.073257286318
